(-4.0, 31.8, -10.0);(0.7120625);(0.0, -5.2, 0.0);(-6.4, 1.0, 17.2)
(-4.0, 31.7, -10.0);(0.7182648);(0.3, -5.4, -0.4);(-6.4, 1.0, 17.2)
(-4.0, 31.6, -10.1);(0.7306023);(0.7, -5.6, -0.6);(-6.4, 1.0, 17.2)
(-4.0, 31.4, -10.1);(0.747851);(1.0, -5.8, -0.9);(-6.4, 1.0, 17.2)
(-3.9, 31.3, -10.2);(0.768856);(1.2, -5.9, -1.2);(-6.4, 1.0, 17.2)
(-3.9, 31.1, -10.2);(0.7931765);(1.5, -6.1, -1.5);(-6.4, 1.0, 17.2)
(-3.8, 31.0, -10.3);(0.8192887);(1.8, -6.2, -1.8);(-6.4, 1.0, 17.2)
(-3.7, 30.8, -10.4);(0.8465116);(2.0, -6.3, -2.1);(-6.4, 1.0, 17.2)
(-3.6, 30.6, -10.5);(0.8725458);(2.2, -6.3, -2.4);(-6.4, 1.0, 17.2)
(-3.6, 30.5, -10.6);(0.8966419);(2.4, -6.4, -2.7);(-6.4, 1.0, 17.2)
(-3.5, 30.3, -10.8);(0.9173945);(2.6, -6.4, -2.9);(-6.4, 1.0, 17.2)
(-3.3, 30.2, -10.9);(0.9328161);(2.7, -6.3, -3.2);(-6.4, 1.0, 17.2)
(-3.2, 30.0, -11.1);(0.9402614);(2.7, -6.2, -3.5);(-6.4, 1.0, 17.2)
(-3.1, 29.9, -11.2);(0.9388903);(2.8, -6.1, -3.7);(-6.4, 1.0, 17.2)
(-3.0, 29.8, -11.4);(0.9276924);(2.8, -5.8, -3.8);(-6.4, 1.0, 17.2)
(-2.9, 29.7, -11.6);(0.9067003);(2.9, -5.6, -3.8);(-6.4, 1.0, 17.2)
(-2.8, 29.6, -11.8);(0.8760805);(2.8, -5.3, -3.6);(-6.4, 1.0, 17.2)
(-2.7, 29.6, -11.9);(0.8386632);(2.6, -5.1, -3.3);(-6.4, 1.0, 17.2)
(-2.6, 29.5, -12.1);(0.7952412);(2.5, -5.0, -3.0);(-6.4, 1.0, 17.2)
(-2.5, 29.5, -12.2);(0.7474957);(2.3, -4.8, -2.7);(-6.4, 1.0, 17.2)
(-2.5, 29.5, -12.3);(0.6976634);(2.0, -4.8, -2.3);(-6.4, 1.0, 17.2)
(-2.4, 29.4, -12.4);(0.6490905);(1.9, -4.9, -1.8);(-6.4, 1.0, 17.2)
(-2.4, 29.4, -12.5);(0.6015098);(1.8, -4.9, -1.4);(-6.4, 1.0, 17.2)
(-2.3, 29.3, -12.5);(0.5549291);(1.6, -4.9, -0.9);(-6.4, 1.0, 17.2)
(-2.3, 29.3, -12.6);(0.5093898);(1.5, -4.9, -0.5);(-6.4, 1.0, 17.2)
(-2.2, 29.2, -12.6);(0.4654104);(1.5, -4.9, 0.0);(-6.4, 1.0, 17.2)
(-2.2, 29.2, -12.6);(0.4232037);(1.4, -5.0, 0.5);(-6.4, 1.0, 17.2)
(-2.2, 29.1, -12.6);(0.382264);(1.4, -5.0, 1.0);(-6.4, 1.0, 17.2)
(-2.2, 29.1, -12.6);(0.3447386);(1.4, -5.2, 1.5);(-6.4, 1.0, 17.2)
(-2.1, 29.0, -12.6);(0.309208);(1.4, -5.3, 1.9);(-6.4, 1.0, 17.2)
(-2.1, 29.0, -12.6);(0.2757363);(1.4, -5.4, 2.4);(-6.4, 1.0, 17.2)
