(1.2, 31.8, 19.9);(0.7345197);(0.0, -5.2, 0.0);(-16.2, 1.0, -4.5)
(1.2, 31.7, 19.9);(0.7388471);(0.3, -5.4, 0.2);(-16.2, 1.0, -4.5)
(1.3, 31.6, 19.9);(0.7475534);(0.7, -5.6, 0.4);(-16.2, 1.0, -4.5)
(1.3, 31.4, 20.0);(0.7603276);(1.1, -5.8, 0.6);(-16.2, 1.0, -4.5)
(1.4, 31.3, 20.0);(0.7766185);(1.5, -5.9, 0.8);(-16.2, 1.0, -4.5)
(1.5, 31.2, 20.1);(0.795655);(1.9, -6.1, 1.1);(-16.2, 1.0, -4.5)
(1.6, 31.0, 20.1);(0.8144719);(2.3, -6.1, 1.3);(-16.2, 1.0, -4.5)
(1.7, 30.9, 20.2);(0.8305623);(2.6, -6.1, 1.5);(-16.2, 1.0, -4.5)
(1.8, 30.7, 20.3);(0.842389);(2.9, -6.0, 1.7);(-16.2, 1.0, -4.5)
(1.9, 30.6, 20.4);(0.8466648);(3.2, -5.8, 1.8);(-16.2, 1.0, -4.5)
(2.1, 30.5, 20.5);(0.8443347);(3.4, -5.5, 1.7);(-16.2, 1.0, -4.5)
(2.3, 30.4, 20.6);(0.8346212);(3.5, -5.3, 1.5);(-16.2, 1.0, -4.5)
(2.4, 30.4, 20.7);(0.8178244);(3.5, -5.0, 1.3);(-16.2, 1.0, -4.5)
(2.6, 30.3, 20.8);(0.795961);(3.4, -4.8, 0.9);(-16.2, 1.0, -4.5)
(2.7, 30.2, 20.8);(0.7705642);(3.3, -4.7, 0.6);(-16.2, 1.0, -4.5)
(2.8, 30.2, 20.9);(0.7414822);(3.2, -4.6, 0.2);(-16.2, 1.0, -4.5)
(3.0, 30.1, 20.9);(0.7096099);(3.1, -4.4, -0.2);(-16.2, 1.0, -4.5)
(3.1, 30.1, 20.9);(0.6751801);(2.9, -4.3, -0.5);(-16.2, 1.0, -4.5)
(3.2, 30.0, 20.9);(0.6388769);(2.7, -4.2, -0.9);(-16.2, 1.0, -4.5)
(3.3, 30.0, 20.9);(0.6011661);(2.5, -4.2, -1.3);(-16.2, 1.0, -4.5)
(3.4, 30.0, 20.9);(0.5640082);(2.2, -4.2, -1.6);(-16.2, 1.0, -4.5)
(3.5, 29.9, 20.9);(0.5281148);(2.0, -4.2, -2.0);(-16.2, 1.0, -4.5)
(3.5, 29.9, 20.9);(0.4936628);(1.7, -4.3, -2.4);(-16.2, 1.0, -4.5)
(3.6, 29.8, 20.8);(0.4602956);(1.4, -4.3, -2.8);(-16.2, 1.0, -4.5)
(3.7, 29.8, 20.8);(0.4291686);(1.1, -4.4, -3.2);(-16.2, 1.0, -4.5)
(3.7, 29.7, 20.7);(0.3995792);(0.9, -4.5, -3.6);(-16.2, 1.0, -4.5)
(3.7, 29.7, 20.6);(0.3721942);(0.7, -4.6, -4.1);(-16.2, 1.0, -4.5)
(3.8, 29.6, 20.5);(0.3445795);(0.5, -4.6, -4.5);(-16.2, 1.0, -4.5)
(3.8, 29.6, 20.4);(0.3194224);(0.2, -4.8, -4.9);(-16.2, 1.0, -4.5)
(3.8, 29.5, 20.3);(0.2959108);(0.0, -4.9, -5.3);(-16.2, 1.0, -4.5)
(3.8, 29.4, 20.2);(0.2738426);(-0.3, -5.0, -5.7);(-16.2, 1.0, -4.5)
(3.8, 29.3, 20.1);(0.2539708);(-0.6, -5.2, -6.1);(-16.2, 1.0, -4.5)
(3.8, 29.3, 19.9);(0.2362821);(-0.9, -5.3, -6.5);(-16.2, 1.0, -4.5)
(3.8, 29.2, 19.8);(0.2202822);(-1.2, -5.5, -6.9);(-16.2, 1.0, -4.5)
(3.8, 29.1, 19.6);(0.2068234);(-1.4, -5.7, -7.3);(-16.2, 1.0, -4.5)
(3.8, 29.0, 19.5);(0.1958309);(-1.8, -5.9, -7.7);(-16.2, 1.0, -4.5)
(3.8, 28.9, 19.3);(0.1861614);(-2.1, -6.0, -8.0);(-16.2, 1.0, -4.5)
(3.7, 28.7, 19.1);(0.1769913);(-2.3, -6.2, -8.4);(-16.2, 1.0, -4.5)
(3.7, 28.6, 18.9);(0.1702345);(-2.6, -6.4, -8.9);(-16.2, 1.0, -4.5)
(3.7, 28.5, 18.7);(0.1653651);(-2.8, -6.6, -9.3);(-16.2, 1.0, -4.5)
(3.6, 28.4, 18.5);(0.1615795);(-3.1, -6.7, -9.7);(-16.2, 1.0, -4.5)
(3.6, 28.2, 18.3);(0.1588324);(-3.4, -6.9, -10.0);(-16.2, 1.0, -4.5)
(3.5, 28.1, 18.1);(0.1576961);(-3.7, -7.1, -10.4);(-16.2, 1.0, -4.5)
(3.4, 27.9, 17.9);(0.1589043);(-4.0, -7.3, -10.7);(-16.2, 1.0, -4.5)
(3.4, 27.8, 17.6);(0.1627474);(-4.3, -7.5, -11.1);(-16.2, 1.0, -4.5)
(3.3, 27.6, 17.4);(0.1685762);(-4.7, -7.7, -11.4);(-16.2, 1.0, -4.5)
(3.2, 27.5, 17.1);(0.1759205);(-5.0, -7.9, -11.7);(-16.2, 1.0, -4.5)
(3.1, 27.3, 16.9);(0.1857922);(-5.3, -8.1, -12.0);(-16.2, 1.0, -4.5)
(3.0, 27.1, 16.6);(0.19787);(-5.6, -8.3, -12.3);(-16.2, 1.0, -4.5)
(2.9, 26.9, 16.4);(0.2120375);(-6.0, -8.5, -12.5);(-16.2, 1.0, -4.5)
(2.8, 26.7, 16.1);(0.2292362);(-6.3, -8.7, -12.7);(-16.2, 1.0, -4.5)
(2.7, 26.5, 15.8);(0.24883);(-6.6, -8.9, -12.9);(-16.2, 1.0, -4.5)
(2.5, 26.3, 15.5);(0.2717064);(-6.9, -9.2, -13.1);(-16.2, 1.0, -4.5)
(2.4, 26.1, 15.3);(0.2988886);(-7.2, -9.4, -13.3);(-16.2, 1.0, -4.5)
(2.2, 25.9, 15.0);(0.3299164);(-7.5, -9.7, -13.4);(-16.2, 1.0, -4.5)
(2.1, 25.6, 14.7);(0.365684);(-7.8, -10.0, -13.6);(-16.2, 1.0, -4.5)
(1.9, 25.4, 14.4);(0.4057962);(-8.0, -10.3, -13.6);(-16.2, 1.0, -4.5)
(1.7, 25.1, 14.1);(0.4497519);(-8.3, -10.6, -13.7);(-16.2, 1.0, -4.5)
