(3.5, 30.1, -15.2);(0.7583185);(0.0, -5.1, 0.0);(-13.6, 1.0, 1.2)
(3.5, 30.0, -15.2);(0.7586755);(0.0, -5.2, 0.0);(-13.6, 1.0, 1.2)
(3.5, 29.9, -15.2);(0.759031);(0.0, -5.4, 0.0);(-13.6, 1.0, 1.2)
(3.5, 29.7, -15.2);(0.759385);(0.0, -5.6, 0.0);(-13.6, 1.0, 1.2)
(3.5, 29.6, -15.2);(0.7597377);(0.0, -5.8, 0.0);(-13.6, 1.0, 1.2)
(3.5, 29.5, -15.2);(0.7600892);(0.0, -6.0, 0.0);(-13.6, 1.0, 1.2)
(3.5, 29.4, -15.2);(0.7604392);(0.0, -6.2, 0.0);(-13.6, 1.0, 1.2)
(3.5, 29.3, -15.2);(0.7607878);(0.0, -6.4, 0.0);(-13.6, 1.0, 1.2)
(3.5, 29.1, -15.2);(0.761135);(0.0, -6.5, 0.0);(-13.6, 1.0, 1.2)
(3.5, 29.0, -15.2);(0.7614809);(0.0, -6.7, 0.0);(-13.6, 1.0, 1.2)
(3.5, 28.9, -15.2);(0.7618254);(0.0, -6.9, 0.0);(-13.6, 1.0, 1.2)
(3.5, 28.7, -15.2);(0.7621686);(0.0, -7.1, 0.0);(-13.6, 1.0, 1.2)
(3.5, 28.6, -15.2);(0.7625105);(0.0, -7.3, 0.0);(-13.6, 1.0, 1.2)
(3.5, 28.4, -15.2);(0.7628511);(0.0, -7.4, 0.0);(-13.6, 1.0, 1.2)
(3.5, 28.3, -15.2);(0.7631902);(0.0, -7.6, 0.0);(-13.6, 1.0, 1.2)
(3.5, 28.1, -15.2);(0.763528);(0.0, -7.8, 0.0);(-13.6, 1.0, 1.2)
(3.5, 28.0, -15.2);(0.7638646);(0.0, -8.0, 0.0);(-13.6, 1.0, 1.2)
(3.5, 27.8, -15.2);(0.7641999);(0.0, -8.2, 0.0);(-13.6, 1.0, 1.2)
(3.5, 27.6, -15.2);(0.7645338);(0.0, -8.3, 0.0);(-13.6, 1.0, 1.2)
(3.5, 27.4, -15.2);(0.7648664);(0.0, -8.5, 0.0);(-13.6, 1.0, 1.2)
(3.5, 27.3, -15.2);(0.7651976);(0.0, -8.7, 0.0);(-13.6, 1.0, 1.2)
(3.5, 27.1, -15.2);(0.7655277);(0.0, -8.9, 0.0);(-13.6, 1.0, 1.2)
(3.5, 26.9, -15.2);(0.7658564);(0.0, -9.1, 0.0);(-13.6, 1.0, 1.2)
(3.5, 26.7, -15.2);(0.7661838);(0.0, -9.2, 0.0);(-13.6, 1.0, 1.2)
(3.5, 26.5, -15.2);(0.76651);(0.0, -9.4, 0.0);(-13.6, 1.0, 1.2)
(3.5, 26.3, -15.2);(0.7668349);(0.0, -9.6, 0.0);(-13.6, 1.0, 1.2)
(3.5, 26.2, -15.2);(0.7671584);(0.0, -9.8, 0.0);(-13.6, 1.0, 1.2)
(3.5, 26.0, -15.2);(0.7674807);(0.0, -9.9, 0.0);(-13.6, 1.0, 1.2)
(3.5, 25.8, -15.2);(0.7678018);(0.0, -10.1, 0.0);(-13.6, 1.0, 1.2)
(3.5, 25.5, -15.2);(0.7681216);(0.0, -10.3, 0.0);(-13.6, 1.0, 1.2)
(3.5, 25.3, -15.2);(0.7684401);(0.0, -10.5, 0.0);(-13.6, 1.0, 1.2)
(3.5, 25.1, -15.2);(0.7687574);(0.0, -10.6, 0.0);(-13.6, 1.0, 1.2)
(3.5, 24.9, -15.2);(0.7690735);(0.0, -10.8, 0.0);(-13.6, 1.0, 1.2)
(3.5, 24.7, -15.2);(0.7693884);(0.0, -11.0, 0.0);(-13.6, 1.0, 1.2)
(3.5, 24.5, -15.2);(0.769702);(0.0, -11.2, 0.0);(-13.6, 1.0, 1.2)
(3.5, 24.2, -15.2);(0.7700143);(0.0, -11.3, 0.0);(-13.6, 1.0, 1.2)
(3.5, 24.0, -15.2);(0.7703255);(0.0, -11.5, 0.0);(-13.6, 1.0, 1.2)
(3.5, 23.8, -15.2);(0.7706354);(0.0, -11.7, 0.0);(-13.6, 1.0, 1.2)
(3.5, 23.5, -15.2);(0.7709442);(0.0, -11.9, 0.0);(-13.6, 1.0, 1.2)
(3.5, 23.3, -15.2);(0.7712516);(0.0, -12.0, 0.0);(-13.6, 1.0, 1.2)
(3.5, 23.0, -15.2);(0.7715579);(0.0, -12.2, 0.0);(-13.6, 1.0, 1.2)
(3.5, 22.8, -15.2);(0.771863);(0.0, -12.4, 0.0);(-13.6, 1.0, 1.2)
(3.5, 22.5, -15.2);(0.7721668);(0.0, -12.5, 0.0);(-13.6, 1.0, 1.2)
(3.5, 22.3, -15.2);(0.7724696);(0.0, -12.7, 0.0);(-13.6, 1.0, 1.2)
(3.5, 22.0, -15.2);(0.7733824);(0.0, -12.9, 0.1);(-13.6, 1.0, 1.2)
(3.5, 21.8, -15.2);(0.7759138);(0.1, -13.1, 0.1);(-13.6, 1.0, 1.2)
(3.5, 21.5, -15.2);(0.7819595);(0.3, -13.3, 0.2);(-13.6, 1.0, 1.2)
