(-9.6, 39.8, 12.3);(0.63583);(0.1, -5.7, -0.1);(11.5, 1.0, 2.0)
(-9.6, 39.7, 12.3);(0.6336513);(0.4, -5.9, 0.1);(11.5, 1.0, 2.0)
(-9.6, 39.6, 12.3);(0.6364647);(0.7, -6.2, 0.2);(11.5, 1.0, 2.0)
(-9.6, 39.4, 12.3);(0.6442713);(1.0, -6.5, 0.3);(11.5, 1.0, 2.0)
(-9.5, 39.3, 12.4);(0.6570889);(1.2, -6.8, 0.5);(11.5, 1.0, 2.0)
(-9.5, 39.1, 12.4);(0.6738657);(1.4, -7.0, 0.7);(11.5, 1.0, 2.0)
(-9.4, 38.9, 12.4);(0.6947706);(1.6, -7.2, 0.8);(11.5, 1.0, 2.0)
(-9.4, 38.8, 12.4);(0.7190373);(1.8, -7.4, 1.0);(11.5, 1.0, 2.0)
(-9.3, 38.6, 12.5);(0.7459468);(2.0, -7.6, 1.2);(11.5, 1.0, 2.0)
(-9.2, 38.4, 12.5);(0.7746134);(2.1, -7.8, 1.4);(11.5, 1.0, 2.0)
(-9.1, 38.2, 12.6);(0.8044872);(2.3, -7.9, 1.6);(11.5, 1.0, 2.0)
(-9.0, 38.0, 12.6);(0.8344512);(2.3, -8.1, 1.8);(11.5, 1.0, 2.0)
(-8.9, 37.8, 12.7);(0.8636493);(2.4, -8.2, 2.0);(11.5, 1.0, 2.0)
(-8.8, 37.6, 12.8);(0.8913108);(2.4, -8.3, 2.2);(11.5, 1.0, 2.0)
(-8.7, 37.4, 12.9);(0.9168938);(2.4, -8.4, 2.4);(11.5, 1.0, 2.0)
(-8.7, 37.2, 13.0);(0.93987);(2.3, -8.5, 2.6);(11.5, 1.0, 2.0)
(-8.6, 37.0, 13.1);(0.9600081);(2.3, -8.6, 2.8);(11.5, 1.0, 2.0)
(-8.5, 36.8, 13.3);(0.9763919);(2.3, -8.6, 2.9);(11.5, 1.0, 2.0)
(-8.4, 36.6, 13.4);(0.9886319);(2.2, -8.7, 3.1);(11.5, 1.0, 2.0)
(-8.3, 36.5, 13.5);(0.9961622);(2.1, -8.8, 3.2);(11.5, 1.0, 2.0)
(-8.2, 36.3, 13.7);(0.9985353);(2.1, -8.8, 3.3);(11.5, 1.0, 2.0)
(-8.1, 36.1, 13.8);(0.9952511);(2.0, -8.9, 3.5);(11.5, 1.0, 2.0)
(-8.1, 35.9, 14.0);(0.9858639);(1.9, -8.9, 3.6);(11.5, 1.0, 2.0)
(-8.0, 35.8, 14.2);(0.9698454);(1.8, -9.0, 3.7);(11.5, 1.0, 2.0)
(-8.0, 35.6, 14.3);(0.9469457);(1.7, -9.0, 3.7);(11.5, 1.0, 2.0)
(-7.9, 35.5, 14.5);(0.9168342);(1.5, -9.0, 3.8);(11.5, 1.0, 2.0)
(-7.9, 35.4, 14.7);(0.8794741);(1.4, -9.0, 3.8);(11.5, 1.0, 2.0)
(-7.8, 35.2, 14.8);(0.8345863);(1.2, -9.0, 3.8);(11.5, 1.0, 2.0)
(-7.8, 35.1, 15.0);(0.7827391);(1.1, -9.0, 3.8);(11.5, 1.0, 2.0)
(-7.8, 35.0, 15.2);(0.7244106);(0.9, -9.0, 3.7);(11.5, 1.0, 2.0)
(-7.8, 34.9, 15.3);(0.6602737);(0.7, -9.0, 3.5);(11.5, 1.0, 2.0)
(-7.8, 34.8, 15.4);(0.5912126);(0.5, -9.1, 3.3);(11.5, 1.0, 2.0)
(-7.8, 34.7, 15.5);(0.5177201);(0.3, -9.1, 3.1);(11.5, 1.0, 2.0)
(-7.8, 34.7, 15.7);(0.4408175);(0.1, -9.2, 2.9);(11.5, 1.0, 2.0)
(-7.8, 34.6, 15.8);(0.36184);(-0.1, -9.3, 2.6);(11.5, 1.0, 2.0)
(-7.9, 34.5, 15.8);(0.2820662);(-0.4, -9.5, 2.3);(11.5, 1.0, 2.0)
(-7.9, 34.4, 15.9);(0.202844);(-0.7, -9.7, 2.0);(11.5, 1.0, 2.0)
(-8.0, 34.3, 15.9);(0.1278976);(-0.9, -10.0, 1.6);(11.5, 1.0, 2.0)
(-8.1, 34.2, 16.0);(0.0569676);(-1.1, -10.4, 1.3);(11.5, 1.0, 2.0)
(-8.2, 34.0, 16.0);(-0.008128448);(-1.3, -10.8, 0.9);(11.5, 1.0, 2.0)
(-8.3, 33.9, 16.0);(-0.06504044);(-1.4, -11.3, 0.5);(11.5, 1.0, 2.0)
(-8.4, 33.7, 15.9);(-0.1145068);(-1.6, -11.7, 0.2);(11.5, 1.0, 2.0)
(-8.5, 33.5, 15.9);(-0.1545837);(-1.6, -12.3, -0.2);(11.5, 1.0, 2.0)
(-8.6, 33.3, 15.8);(-0.184974);(-1.6, -12.8, -0.5);(11.5, 1.0, 2.0)
(-8.7, 33.0, 15.8);(-0.2058648);(-1.6, -13.4, -0.8);(11.5, 1.0, 2.0)
