(16.2, 32.5, -23.0);(0.6628613);(0.0, -5.0, 0.0);(-12.6, 1.0, -14.5)
(16.2, 32.3, -23.0);(0.6628613);(0.0, -5.2, 0.0);(-12.6, 1.0, -14.5)
(16.2, 32.2, -23.0);(0.6628613);(0.0, -5.4, 0.0);(-12.6, 1.0, -14.5)
(16.2, 32.1, -23.0);(0.6628613);(0.0, -5.6, 0.0);(-12.6, 1.0, -14.5)
(16.2, 32.0, -23.0);(0.6628613);(0.0, -5.7, 0.0);(-12.6, 1.0, -14.5)
(16.2, 31.9, -23.0);(0.6628613);(0.0, -5.9, 0.0);(-12.6, 1.0, -14.5)
(16.2, 31.8, -23.0);(0.6618437);(0.0, -6.0, 0.0);(-12.6, 1.0, -14.5)
(16.1, 31.7, -23.0);(0.6570641);(0.0, -6.0, 0.0);(-12.6, 1.0, -14.5)
(16.1, 31.5, -23.0);(0.6521482);(0.0, -6.1, 0.0);(-12.6, 1.0, -14.5)
(16.1, 31.4, -23.1);(0.6441392);(0.0, -6.1, 0.0);(-12.6, 1.0, -14.5)
(16.1, 31.3, -23.1);(0.6355104);(0.0, -6.2, 0.0);(-12.6, 1.0, -14.5)
(16.1, 31.2, -23.1);(0.6264263);(0.1, -6.4, 0.0);(-12.6, 1.0, -14.5)
(16.1, 31.1, -23.1);(0.6163051);(0.1, -6.5, 0.0);(-12.6, 1.0, -14.5)
(16.1, 31.0, -23.1);(0.6056992);(0.2, -6.6, 0.0);(-12.6, 1.0, -14.5)
(16.1, 30.8, -23.1);(0.5934927);(0.2, -6.7, 0.0);(-12.6, 1.0, -14.5)
(16.1, 30.7, -23.1);(0.5801535);(0.2, -6.8, 0.0);(-12.6, 1.0, -14.5)
(16.1, 30.6, -23.1);(0.5659277);(0.3, -6.9, 0.0);(-12.6, 1.0, -14.5)
(16.1, 30.5, -23.1);(0.549629);(0.3, -6.9, 0.0);(-12.6, 1.0, -14.5)
(16.1, 30.4, -23.1);(0.5331451);(0.3, -7.1, 0.0);(-12.6, 1.0, -14.5)
(16.1, 30.2, -23.1);(0.5150801);(0.3, -7.2, 0.0);(-12.6, 1.0, -14.5)
(16.1, 30.1, -23.2);(0.4956779);(0.3, -7.3, 0.0);(-12.6, 1.0, -14.5)
(16.1, 30.0, -23.2);(0.4742789);(0.3, -7.4, 0.0);(-12.6, 1.0, -14.5)
(16.1, 29.9, -23.2);(0.4506442);(0.4, -7.5, 0.1);(-12.6, 1.0, -14.5)
(16.1, 29.8, -23.2);(0.4266054);(0.4, -7.7, 0.1);(-12.6, 1.0, -14.5)
(16.1, 29.6, -23.2);(0.4023074);(0.4, -7.8, 0.1);(-12.6, 1.0, -14.5)
(16.1, 29.5, -23.2);(0.3759654);(0.5, -7.9, 0.0);(-12.6, 1.0, -14.5)
(16.1, 29.4, -23.2);(0.3483008);(0.6, -8.0, 0.0);(-12.6, 1.0, -14.5)
(16.1, 29.2, -23.3);(0.3188385);(0.6, -8.1, 0.1);(-12.6, 1.0, -14.5)
(16.1, 29.1, -23.3);(0.2891144);(0.6, -8.3, 0.1);(-12.6, 1.0, -14.5)
(16.1, 29.0, -23.3);(0.2591612);(0.6, -8.5, 0.1);(-12.6, 1.0, -14.5)
(16.1, 28.8, -23.3);(0.2290109);(0.6, -8.6, 0.1);(-12.6, 1.0, -14.5)
(16.1, 28.7, -23.3);(0.1963389);(0.6, -8.7, 0.1);(-12.6, 1.0, -14.5)
(16.2, 28.6, -23.3);(0.1635109);(0.6, -8.9, 0.1);(-12.6, 1.0, -14.5)
(16.2, 28.4, -23.3);(0.129421);(0.7, -9.0, 0.1);(-12.6, 1.0, -14.5)
(16.2, 28.3, -23.3);(0.09473243);(0.7, -9.2, 0.1);(-12.6, 1.0, -14.5)
(16.2, 28.2, -23.3);(0.05996227);(0.7, -9.3, 0.1);(-12.6, 1.0, -14.5)
(16.2, 28.0, -23.3);(0.02386111);(0.7, -9.5, 0.2);(-12.6, 1.0, -14.5)
(16.3, 27.9, -23.4);(-0.0152528);(0.9, -9.5, 0.2);(-12.6, 1.0, -14.5)
(16.3, 27.7, -23.4);(-0.05891436);(1.1, -9.5, 0.4);(-12.6, 1.0, -14.5)
(16.3, 27.6, -23.4);(-0.1023573);(1.1, -9.7, 0.4);(-12.6, 1.0, -14.5)
(16.4, 27.4, -23.3);(-0.1458846);(1.1, -9.9, 0.4);(-12.6, 1.0, -14.5)
(16.4, 27.3, -23.3);(-0.1923314);(1.2, -9.9, 0.5);(-12.6, 1.0, -14.5)
(16.4, 27.2, -23.3);(-0.2390414);(1.2, -10.1, 0.5);(-12.6, 1.0, -14.5)
(16.5, 27.0, -23.3);(-0.2863732);(1.3, -10.2, 0.6);(-12.6, 1.0, -14.5)
(16.5, 26.9, -23.3);(-0.3336267);(1.4, -10.4, 0.6);(-12.6, 1.0, -14.5)
(16.6, 26.7, -23.3);(-0.3799951);(1.5, -10.6, 0.7);(-12.6, 1.0, -14.5)
(16.7, 26.6, -23.3);(-0.4281234);(1.6, -10.7, 0.8);(-12.6, 1.0, -14.5)
(16.7, 26.4, -23.2);(-0.4760171);(1.7, -10.9, 0.9);(-12.6, 1.0, -14.5)
(16.8, 26.2, -23.2);(-0.524029);(1.8, -11.0, 1.0);(-12.6, 1.0, -14.5)
(16.9, 26.1, -23.2);(-0.5701606);(1.8, -11.2, 1.0);(-12.6, 1.0, -14.5)
(16.9, 25.9, -23.1);(-0.6142684);(1.8, -11.4, 1.0);(-12.6, 1.0, -14.5)
(17.0, 25.7, -23.1);(-0.6564474);(1.8, -11.5, 1.0);(-12.6, 1.0, -14.5)
(17.1, 25.5, -23.0);(-0.6968264);(1.8, -11.7, 1.0);(-12.6, 1.0, -14.5)
(17.2, 25.4, -23.0);(-0.7355099);(1.9, -12.0, 1.1);(-12.6, 1.0, -14.5)
(17.3, 25.2, -22.9);(-0.7717474);(1.9, -12.2, 1.2);(-12.6, 1.0, -14.5)
(17.4, 25.0, -22.9);(-0.8053958);(2.0, -12.4, 1.2);(-12.6, 1.0, -14.5)
(17.4, 24.7, -22.8);(-0.8361402);(2.0, -12.6, 1.2);(-12.6, 1.0, -14.5)
(17.5, 24.5, -22.7);(-0.8644935);(2.1, -12.8, 1.3);(-12.6, 1.0, -14.5)
(17.6, 24.3, -22.7);(-0.8895658);(2.0, -13.1, 1.4);(-12.6, 1.0, -14.5)
(17.7, 24.1, -22.6);(-0.9110095);(2.0, -13.3, 1.4);(-12.6, 1.0, -14.5)
(17.8, 23.8, -22.5);(-0.9287085);(2.1, -13.6, 1.5);(-12.6, 1.0, -14.5)
(17.9, 23.6, -22.4);(-0.9428283);(2.1, -13.8, 1.5);(-12.6, 1.0, -14.5)
(18.0, 23.3, -22.3);(-0.9537521);(2.1, -14.2, 1.7);(-12.6, 1.0, -14.5)
(18.1, 23.0, -22.2);(-0.9614151);(2.2, -14.4, 1.9);(-12.6, 1.0, -14.5)
(18.2, 22.7, -22.1);(-0.9643469);(2.2, -14.6, 1.9);(-12.6, 1.0, -14.5)
(18.3, 22.4, -22.0);(-0.9625615);(2.2, -14.8, 1.9);(-12.6, 1.0, -14.5)
(18.4, 22.1, -21.9);(-0.9550408);(2.2, -15.2, 1.9);(-12.6, 1.0, -14.5)
(18.5, 21.8, -21.8);(-0.9415807);(2.3, -15.6, 1.9);(-12.6, 1.0, -14.5)
(18.7, 21.5, -21.7);(-0.9215612);(2.3, -16.1, 1.9);(-12.6, 1.0, -14.5)
(18.8, 21.1, -21.6);(-0.896437);(2.3, -16.3, 1.8);(-12.6, 1.0, -14.5)
(18.9, 20.7, -21.5);(-0.8663194);(2.2, -16.6, 1.9);(-12.6, 1.0, -14.5)
(19.0, 20.4, -21.4);(-0.8317508);(2.2, -16.9, 1.8);(-12.6, 1.0, -14.5)
(19.1, 20.0, -21.3);(-0.7924072);(2.1, -17.2, 1.9);(-12.6, 1.0, -14.5)
(19.1, 19.6, -21.2);(-0.7486356);(1.9, -17.5, 1.9);(-12.6, 1.0, -14.5)
(19.2, 19.1, -21.2);(-0.7000127);(1.9, -17.9, 1.7);(-12.6, 1.0, -14.5)
(19.3, 18.7, -21.1);(-0.6471897);(1.8, -18.1, 1.7);(-12.6, 1.0, -14.5)
(19.4, 18.3, -21.0);(-0.5882968);(1.7, -18.5, 1.6);(-12.6, 1.0, -14.5)
(19.4, 17.8, -20.9);(-0.5256994);(1.7, -18.7, 1.6);(-12.6, 1.0, -14.5)
(19.5, 17.4, -20.8);(-0.4613838);(1.4, -19.0, 1.5);(-12.6, 1.0, -14.5)
(19.6, 16.9, -20.8);(-0.394334);(1.4, -19.2, 1.3);(-12.6, 1.0, -14.5)
