(21.3, 30.9, -9.1);(0.7541413);(0.0, -5.2, 0.0);(-3.1, 1.0, 8.3)
(21.3, 30.8, -9.2);(0.748647);(0.1, -5.0, -0.3);(-3.1, 1.0, 8.3)
(21.4, 30.7, -9.2);(0.7373794);(0.2, -4.8, -0.6);(-3.1, 1.0, 8.3)
(21.4, 30.6, -9.2);(0.7205634);(0.3, -4.6, -0.9);(-3.1, 1.0, 8.3)
(21.4, 30.6, -9.3);(0.7010867);(0.1, -4.5, -1.2);(-3.1, 1.0, 8.3)
(21.4, 30.5, -9.4);(0.6774673);(0.0, -4.4, -1.5);(-3.1, 1.0, 8.3)
(21.5, 30.5, -9.5);(0.6502687);(-0.1, -4.3, -1.8);(-3.1, 1.0, 8.3)
(21.5, 30.4, -9.5);(0.6204887);(-0.3, -4.3, -1.9);(-3.1, 1.0, 8.3)
(21.5, 30.4, -9.6);(0.5876675);(-0.5, -4.3, -1.9);(-3.1, 1.0, 8.3)
(21.5, 30.3, -9.7);(0.5537367);(-0.8, -4.3, -1.8);(-3.1, 1.0, 8.3)
(21.5, 30.3, -9.8);(0.5184165);(-1.0, -4.4, -1.8);(-3.1, 1.0, 8.3)
(21.5, 30.2, -9.9);(0.48063);(-1.2, -4.4, -1.6);(-3.1, 1.0, 8.3)
(21.5, 30.2, -10.0);(0.4421314);(-1.5, -4.4, -1.5);(-3.1, 1.0, 8.3)
(21.4, 30.1, -10.1);(0.404139);(-1.7, -4.5, -1.3);(-3.1, 1.0, 8.3)
(21.4, 30.1, -10.1);(0.3666052);(-2.0, -4.6, -1.1);(-3.1, 1.0, 8.3)
(21.4, 30.0, -10.2);(0.3296205);(-2.3, -4.8, -0.9);(-3.1, 1.0, 8.3)
(21.3, 30.0, -10.2);(0.2932173);(-2.5, -4.9, -0.7);(-3.1, 1.0, 8.3)
(21.3, 29.9, -10.3);(0.2580944);(-2.8, -5.0, -0.5);(-3.1, 1.0, 8.3)
(21.2, 29.9, -10.3);(0.2240983);(-3.1, -5.2, -0.2);(-3.1, 1.0, 8.3)
(21.1, 29.8, -10.3);(0.1929108);(-3.4, -5.4, 0.0);(-3.1, 1.0, 8.3)
(21.0, 29.7, -10.4);(0.1628752);(-3.7, -5.5, 0.2);(-3.1, 1.0, 8.3)
(21.0, 29.6, -10.4);(0.1370377);(-4.0, -5.8, 0.4);(-3.1, 1.0, 8.3)
(20.9, 29.6, -10.4);(0.1138224);(-4.3, -6.0, 0.6);(-3.1, 1.0, 8.3)
(20.8, 29.5, -10.4);(0.09083881);(-4.6, -6.2, 0.9);(-3.1, 1.0, 8.3)
(20.7, 29.4, -10.4);(0.07039787);(-4.9, -6.4, 1.1);(-3.1, 1.0, 8.3)
(20.5, 29.2, -10.4);(0.05068135);(-5.3, -6.6, 1.3);(-3.1, 1.0, 8.3)
(20.4, 29.1, -10.3);(0.03221719);(-5.6, -6.8, 1.6);(-3.1, 1.0, 8.3)
(20.3, 29.0, -10.3);(0.01381967);(-5.9, -7.0, 1.9);(-3.1, 1.0, 8.3)
(20.2, 28.9, -10.3);(-0.002001926);(-6.2, -7.2, 2.1);(-3.1, 1.0, 8.3)
(20.0, 28.8, -10.2);(-0.01694362);(-6.4, -7.4, 2.4);(-3.1, 1.0, 8.3)
(19.9, 28.6, -10.2);(-0.029336);(-6.7, -7.7, 2.7);(-3.1, 1.0, 8.3)
(19.7, 28.5, -10.2);(-0.03888823);(-7.0, -8.0, 3.0);(-3.1, 1.0, 8.3)
(19.6, 28.3, -10.1);(-0.04642936);(-7.3, -8.3, 3.3);(-3.1, 1.0, 8.3)
(19.4, 28.2, -10.0);(-0.05229894);(-7.6, -8.5, 3.6);(-3.1, 1.0, 8.3)
(19.2, 28.0, -10.0);(-0.05664255);(-7.9, -8.8, 3.8);(-3.1, 1.0, 8.3)
(19.1, 27.8, -9.9);(-0.06060224);(-8.3, -9.0, 4.1);(-3.1, 1.0, 8.3)
